timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path,days_left
2025-11-05 16:06:39,25.7,45.2,5.71,0,19,102,18,99.6,0.0,0.0,0.0,raw_2025-11-05_16-06-39.jpg,processed_2025-11-05_16-06-39.png,3
2025-11-05 16:07:33,25.8,44.4,4.9,62,142,131,59,4.0,90.8,46.4,1.9,raw_2025-11-05_16-07-33.jpg,processed_2025-11-05_16-07-33.png,3
2025-11-05 16:08:15,25.9,44.3,5.72,60,140,129,58,4.8,90.9,43.6,2.0,raw_2025-11-05_16-08-16.jpg,processed_2025-11-05_16-08-16.png,3
2025-11-05 16:09:05,25.9,43.7,5.06,60,141,130,59,5.0,91.6,43.4,2.0,raw_2025-11-05_16-09-05.jpg,processed_2025-11-05_16-09-05.png,3
2025-11-05 16:10:49,26.0,43.0,5.19,69,143,130,59,3.2,90.6,56.8,1.8,raw_2025-11-05_16-10-49.jpg,processed_2025-11-05_16-10-49.png,3
2025-11-05 16:12:38,26.1,42.5,5.28,63,141,129,59,4.7,90.4,48.3,1.9,raw_2025-11-05_16-12-38.jpg,processed_2025-11-05_16-12-38.png,3
2025-11-05 16:14:31,26.2,42.4,5.5,62,144,133,62,5.0,90.0,46.8,2.1,raw_2025-11-05_16-14-31.jpg,processed_2025-11-05_16-14-31.png,3
2025-11-05 16:15:03,26.2,42.3,5.62,61,143,132,60,5.3,89.7,45.4,2.1,raw_2025-11-05_16-15-03.jpg,processed_2025-11-05_16-15-03.png,3
2025-11-05 16:15:39,26.2,42.2,5.46,58,142,131,59,5.3,88.5,42.6,2.0,raw_2025-11-05_16-15-39.jpg,processed_2025-11-05_16-15-39.png,3
2025-11-05 16:16:17,26.2,42.1,5.81,58,141,130,58,5.9,89.2,41.5,2.1,raw_2025-11-05_16-16-18.jpg,processed_2025-11-05_16-16-18.png,3
2025-11-05 16:17:03,26.2,42.1,6.1,71,148,133,64,3.4,90.9,59.8,1.9,raw_2025-11-05_16-17-03.jpg,processed_2025-11-05_16-17-03.png,3
2025-11-05 16:17:41,26.3,41.9,5.5,70,146,133,63,3.7,90.4,58.2,1.7,raw_2025-11-05_16-17-41.jpg,processed_2025-11-05_16-17-41.png,3
2025-11-05 16:18:24,26.2,42.1,5.82,69,145,132,62,3.6,90.9,56.3,1.9,raw_2025-11-05_16-18-25.jpg,processed_2025-11-05_16-18-25.png,3
2025-11-05 16:19:53,26.3,41.4,5.31,65,143,130,60,4.1,90.4,51.3,1.8,raw_2025-11-05_16-19-53.jpg,processed_2025-11-05_16-19-53.png,3
2025-11-05 16:20:23,26.3,41.3,5.43,67,142,129,59,3.8,91.0,53.7,1.9,raw_2025-11-05_16-20-23.jpg,processed_2025-11-05_16-20-23.png,3
2025-11-05 16:20:54,26.3,41.4,5.51,69,146,132,63,3.7,90.5,57.6,1.8,raw_2025-11-05_16-20-54.jpg,processed_2025-11-05_16-20-54.png,3
2025-11-05 16:21:24,26.3,41.5,6.04,68,145,132,62,3.9,90.6,55.3,2.0,raw_2025-11-05_16-21-24.jpg,processed_2025-11-05_16-21-24.png,3
2025-11-05 16:21:57,26.2,41.8,6.9,68,145,131,61,3.6,90.6,55.7,2.0,raw_2025-11-05_16-21-57.jpg,processed_2025-11-05_16-21-57.png,3
2025-11-05 16:22:41,26.3,41.5,6.13,67,144,131,60,4.0,90.4,53.8,2.1,raw_2025-11-05_16-22-41.jpg,processed_2025-11-05_16-22-41.png,3
2025-11-05 16:23:20,26.3,41.6,6.19,64,143,130,59,4.4,90.2,50.0,2.0,raw_2025-11-05_16-23-20.jpg,processed_2025-11-05_16-23-20.png,3
