timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path
2025-11-07 15:58:14,26.9,39.8,2.88,17,72,70,60,17.2,5.4,12.1,6.5,raw_2025-11-07_15-58-15.jpg,processed_2025-11-07_15-58-15.png
2025-11-07 16:00:58,26.5,38.7,3.2,0,0,28,0,70.4,0.0,0.0,0.0,raw_2025-11-07_16-00-58.jpg,processed_2025-11-07_16-00-58.png
2025-11-07 16:01:42,26.6,39.4,4.43,43,103,91,80,6.5,10.3,57.4,0.1,raw_2025-11-07_16-01-42.jpg,processed_2025-11-07_16-01-42.png
2025-11-07 16:02:16,26.5,40.2,9.77,80,100,76,39,1.5,53.7,76.1,11.1,raw_2025-11-07_16-02-16.jpg,processed_2025-11-07_16-02-16.png
2025-11-07 16:03:01,26.5,40.7,14.01,66,95,70,37,1.9,36.6,65.9,8.9,raw_2025-11-07_16-03-01.jpg,processed_2025-11-07_16-03-01.png
2025-11-07 16:03:37,26.5,41.0,18.15,60,91,67,35,1.8,32.9,60.9,7.4,raw_2025-11-07_16-03-37.jpg,processed_2025-11-07_16-03-37.png
2025-11-07 16:04:14,26.6,41.3,23.25,59,89,65,34,2.2,33.0,60.6,7.0,raw_2025-11-07_16-04-14.jpg,processed_2025-11-07_16-04-14.png
2025-11-07 16:04:50,26.5,41.4,26.03,60,88,64,34,2.0,32.4,60.3,7.8,raw_2025-11-07_16-04-50.jpg,processed_2025-11-07_16-04-50.png
2025-11-07 16:05:30,26.6,41.7,30.78,60,86,64,34,2.2,33.6,60.5,7.1,raw_2025-11-07_16-05-30.jpg,processed_2025-11-07_16-05-30.png
2025-11-07 16:06:06,26.6,41.9,34.34,57,85,63,33,2.4,32.1,58.4,6.8,raw_2025-11-07_16-06-06.jpg,processed_2025-11-07_16-06-06.png
2025-11-07 16:06:57,26.6,42.1,39.7,60,84,62,33,2.2,34.1,60.4,7.5,raw_2025-11-07_16-06-57.jpg,processed_2025-11-07_16-06-57.png
2025-11-07 16:07:32,26.6,42.2,42.68,59,82,61,32,2.9,35.3,58.8,7.2,raw_2025-11-07_16-07-32.jpg,processed_2025-11-07_16-07-32.png
2025-11-07 16:08:14,26.7,42.3,49.06,57,78,61,31,7.5,43.7,53.3,6.7,raw_2025-11-07_16-08-14.jpg,processed_2025-11-07_16-08-14.png
2025-11-07 16:09:07,26.7,42.5,51.97,45,67,61,51,23.1,20.1,44.2,7.6,raw_2025-11-07_16-09-07.jpg,processed_2025-11-07_16-09-07.png
2025-11-07 16:09:50,26.7,42.6,56.32,88,101,79,41,2.6,69.9,78.3,12.2,raw_2025-11-07_16-09-50.jpg,processed_2025-11-07_16-09-50.png
2025-11-07 16:10:32,26.7,42.9,60.8,84,101,77,40,1.7,58.0,77.6,11.8,raw_2025-11-07_16-10-32.jpg,processed_2025-11-07_16-10-32.png
2025-11-07 16:11:06,26.8,42.9,60.37,81,103,80,40,1.9,63.0,73.3,10.7,raw_2025-11-07_16-11-06.jpg,processed_2025-11-07_16-11-06.png
2025-11-07 16:11:44,26.8,42.9,50.58,85,98,74,40,1.8,49.4,82.1,13.2,raw_2025-11-07_16-11-44.jpg,processed_2025-11-07_16-11-44.png
2025-11-07 16:12:20,26.8,43.1,62.33,81,104,77,41,1.0,48.2,79.4,11.4,raw_2025-11-07_16-12-20.jpg,processed_2025-11-07_16-12-20.png
2025-11-07 16:12:56,26.8,43.1,61.11,80,97,74,38,2.2,55.4,74.4,11.8,raw_2025-11-07_16-12-57.jpg,processed_2025-11-07_16-12-57.png
2025-11-07 16:13:31,26.7,43.2,60.36,86,99,75,41,2.3,54.4,79.4,13.6,raw_2025-11-07_16-13-31.jpg,processed_2025-11-07_16-13-31.png
2025-11-07 16:14:04,26.8,43.2,65.35,83,99,74,39,1.6,46.5,80.2,12.6,raw_2025-11-07_16-14-04.jpg,processed_2025-11-07_16-14-04.png
2025-11-07 16:14:38,26.8,43.2,68.99,84,100,74,42,1.8,38.2,83.4,14.2,raw_2025-11-07_16-14-38.jpg,processed_2025-11-07_16-14-38.png
2025-11-07 16:15:08,26.8,43.2,73.23,82,102,76,41,1.7,42.6,81.2,12.7,raw_2025-11-07_16-15-08.jpg,processed_2025-11-07_16-15-08.png
2025-11-07 16:15:39,26.8,43.3,71.72,80,99,73,40,1.5,41.8,79.7,12.1,raw_2025-11-07_16-15-39.jpg,processed_2025-11-07_16-15-39.png
