timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path
2025-11-04 00:58:02,26.3,49.8,3.58,51,140,136,88,35.8,63.2,39.4,4.2,raw_2025-11-04_00-58-02.jpg,processed_2025-11-04_00-58-02.png
2025-11-04 00:58:31,26.3,49.8,3.44,51,140,135,89,34.4,62.5,40.3,4.1,raw_2025-11-04_00-58-31.jpg,processed_2025-11-04_00-58-31.png
2025-11-04 00:59:01,26.4,49.7,3.55,50,139,135,88,34.9,61.7,39.6,4.0,raw_2025-11-04_00-59-01.jpg,processed_2025-11-04_00-59-01.png
2025-11-04 00:59:31,26.3,49.7,3.52,41,136,134,72,49.8,74.7,22.5,2.5,raw_2025-11-04_00-59-31.jpg,processed_2025-11-04_00-59-31.png
2025-11-04 01:00:00,26.4,49.8,3.59,41,136,134,72,48.8,74.6,23.0,2.3,raw_2025-11-04_01-00-00.jpg,processed_2025-11-04_01-00-00.png
2025-11-04 01:00:29,26.4,49.9,3.73,41,135,133,72,50.6,74.9,22.8,2.4,raw_2025-11-04_01-00-29.jpg,processed_2025-11-04_01-00-29.png
2025-11-04 01:00:58,26.4,49.7,3.55,41,134,133,71,49.3,74.6,22.6,2.4,raw_2025-11-04_01-00-58.jpg,processed_2025-11-04_01-00-58.png
2025-11-04 01:01:26,26.4,49.6,3.7,41,134,133,71,49.3,74.6,22.9,2.3,raw_2025-11-04_01-01-26.jpg,processed_2025-11-04_01-01-26.png
2025-11-04 01:01:54,26.4,49.7,3.63,37,132,133,68,61.9,75.1,16.5,2.6,raw_2025-11-04_01-01-54.jpg,processed_2025-11-04_01-01-54.png
2025-11-04 01:02:22,26.4,49.8,3.67,36,131,133,67,60.8,75.2,15.9,2.6,raw_2025-11-04_01-02-22.jpg,processed_2025-11-04_01-02-22.png
2025-11-04 01:02:51,26.4,50.0,3.68,37,131,132,66,63.5,77.1,15.4,2.6,raw_2025-11-04_01-02-52.jpg,processed_2025-11-04_01-02-52.png
2025-11-04 01:03:21,26.5,50.0,3.69,37,130,132,67,62.1,75.1,16.4,2.7,raw_2025-11-04_01-03-21.jpg,processed_2025-11-04_01-03-21.png
2025-11-04 01:03:50,26.5,50.0,3.7,36,130,132,66,62.0,75.4,15.5,2.6,raw_2025-11-04_01-03-50.jpg,processed_2025-11-04_01-03-50.png
2025-11-04 01:04:20,26.5,50.0,3.81,37,129,131,65,62.4,75.3,16.2,2.6,raw_2025-11-04_01-04-20.jpg,processed_2025-11-04_01-04-20.png
2025-11-04 01:04:51,26.5,50.1,3.67,37,129,130,65,60.5,74.5,17.0,2.7,raw_2025-11-04_01-04-51.jpg,processed_2025-11-04_01-04-51.png
2025-11-04 01:05:21,26.5,50.1,3.79,36,128,130,64,61.6,74.6,16.3,2.7,raw_2025-11-04_01-05-21.jpg,processed_2025-11-04_01-05-21.png
2025-11-04 01:05:52,26.5,50.1,3.78,46,135,133,87,39.0,57.2,36.9,3.0,raw_2025-11-04_01-05-52.jpg,processed_2025-11-04_01-05-52.png
2025-11-04 01:06:24,26.6,50.1,3.73,19,125,129,70,38.9,40.4,3.7,3.9,raw_2025-11-04_01-06-24.jpg,processed_2025-11-04_01-06-24.png
2025-11-04 01:06:55,26.6,50.1,3.73,23,123,129,71,56.3,46.8,4.4,5.5,raw_2025-11-04_01-06-55.jpg,processed_2025-11-04_01-06-55.png
2025-11-04 01:07:30,26.5,50.0,3.67,24,123,129,71,58.1,49.3,4.6,6.0,raw_2025-11-04_01-07-30.jpg,processed_2025-11-04_01-07-30.png
2025-11-04 01:08:10,26.6,49.9,3.78,25,122,128,70,59.2,50.6,4.9,6.4,raw_2025-11-04_01-08-10.jpg,processed_2025-11-04_01-08-10.png
2025-11-04 01:08:41,26.6,49.9,3.7,38,130,131,66,60.0,76.3,17.3,2.6,raw_2025-11-04_01-08-41.jpg,processed_2025-11-04_01-08-41.png
2025-11-04 01:09:11,26.5,49.8,3.77,34,130,133,64,71.7,81.3,9.5,3.0,raw_2025-11-04_01-09-11.jpg,processed_2025-11-04_01-09-11.png
2025-11-04 01:09:42,26.6,49.8,3.66,34,129,132,64,71.3,81.4,9.4,2.9,raw_2025-11-04_01-09-42.jpg,processed_2025-11-04_01-09-42.png
2025-11-04 01:10:18,26.5,49.7,3.65,34,129,132,63,71.0,80.8,9.6,2.9,raw_2025-11-04_01-10-18.jpg,processed_2025-11-04_01-10-18.png
2025-11-04 01:10:47,26.6,49.7,3.6,34,128,131,62,71.0,80.7,9.6,2.9,raw_2025-11-04_01-10-47.jpg,processed_2025-11-04_01-10-47.png
2025-11-04 01:11:17,26.6,49.7,3.72,34,127,131,61,72.0,81.5,9.1,2.8,raw_2025-11-04_01-11-17.jpg,processed_2025-11-04_01-11-17.png
2025-11-04 01:11:50,26.6,49.7,3.69,34,127,130,61,71.5,81.1,9.6,3.0,raw_2025-11-04_01-11-50.jpg,processed_2025-11-04_01-11-50.png
2025-11-04 01:12:25,26.6,49.7,3.76,34,127,130,61,71.5,80.9,9.9,2.9,raw_2025-11-04_01-12-25.jpg,processed_2025-11-04_01-12-25.png
2025-11-04 01:12:58,26.5,49.6,3.75,34,130,134,65,70.9,80.4,9.5,2.9,raw_2025-11-04_01-12-58.jpg,processed_2025-11-04_01-12-58.png
2025-11-04 01:13:32,26.6,49.7,3.62,34,130,133,65,70.5,81.3,9.7,2.7,raw_2025-11-04_01-13-33.jpg,processed_2025-11-04_01-13-33.png
2025-11-04 01:14:03,26.6,49.7,3.74,34,129,132,63,69.6,81.0,9.3,2.7,raw_2025-11-04_01-14-03.jpg,processed_2025-11-04_01-14-03.png
2025-11-04 01:14:33,26.6,49.6,3.7,34,129,132,63,69.5,80.7,9.9,2.9,raw_2025-11-04_01-14-33.jpg,processed_2025-11-04_01-14-33.png
2025-11-04 01:15:01,26.5,49.6,3.62,34,128,131,61,71.8,81.9,8.7,2.9,raw_2025-11-04_01-15-01.jpg,processed_2025-11-04_01-15-01.png
2025-11-04 01:15:30,26.5,49.8,3.74,34,128,131,62,70.9,80.8,9.9,2.8,raw_2025-11-04_01-15-30.jpg,processed_2025-11-04_01-15-30.png
2025-11-04 01:16:00,26.5,49.9,3.71,34,128,131,62,69.9,80.1,10.5,2.8,raw_2025-11-04_01-16-00.jpg,processed_2025-11-04_01-16-00.png
2025-11-04 01:16:32,26.5,49.9,3.79,34,127,130,61,70.6,80.5,10.1,2.8,raw_2025-11-04_01-16-32.jpg,processed_2025-11-04_01-16-32.png
2025-11-04 01:17:00,26.4,50.1,3.81,34,131,134,67,69.0,81.0,10.4,2.9,raw_2025-11-04_01-17-00.jpg,processed_2025-11-04_01-17-00.png
2025-11-04 01:17:32,26.6,50.0,3.76,34,130,133,65,69.6,81.9,9.5,2.8,raw_2025-11-04_01-17-32.jpg,processed_2025-11-04_01-17-32.png
2025-11-04 01:18:05,26.5,50.0,3.71,34,130,133,65,68.1,80.1,10.1,3.0,raw_2025-11-04_01-18-05.jpg,processed_2025-11-04_01-18-05.png
2025-11-04 01:18:36,26.5,50.0,3.83,34,130,132,65,69.3,81.5,10.1,2.8,raw_2025-11-04_01-18-36.jpg,processed_2025-11-04_01-18-36.png
2025-11-04 01:19:07,26.5,50.1,3.82,34,129,132,63,68.9,81.4,9.7,2.9,raw_2025-11-04_01-19-07.jpg,processed_2025-11-04_01-19-07.png
2025-11-04 01:19:38,26.5,50.1,3.73,34,129,131,64,68.8,81.7,10.1,2.8,raw_2025-11-04_01-19-38.jpg,processed_2025-11-04_01-19-38.png
2025-11-04 01:20:08,26.5,50.1,3.75,34,128,131,63,68.1,80.7,10.5,2.9,raw_2025-11-04_01-20-08.jpg,processed_2025-11-04_01-20-08.png
2025-11-04 01:20:37,26.5,50.1,3.76,34,128,130,62,68.1,81.0,10.1,2.8,raw_2025-11-04_01-20-37.jpg,processed_2025-11-04_01-20-37.png
2025-11-04 01:21:06,26.5,50.1,3.82,34,128,130,62,66.9,80.0,10.8,2.9,raw_2025-11-04_01-21-06.jpg,processed_2025-11-04_01-21-06.png
2025-11-04 01:21:35,26.5,50.2,3.74,35,127,130,62,69.0,80.5,11.3,2.8,raw_2025-11-04_01-21-35.jpg,processed_2025-11-04_01-21-35.png
2025-11-04 01:22:04,26.5,50.2,3.78,33,131,135,65,71.6,81.9,8.2,2.8,raw_2025-11-04_01-22-04.jpg,processed_2025-11-04_01-22-04.png
2025-11-04 01:22:32,26.5,50.3,3.83,35,133,135,68,66.2,79.5,11.7,2.8,raw_2025-11-04_01-22-32.jpg,processed_2025-11-04_01-22-32.png
2025-11-04 01:23:00,26.5,50.4,3.83,36,132,135,68,65.5,78.8,13.1,2.8,raw_2025-11-04_01-23-00.jpg,processed_2025-11-04_01-23-00.png
2025-11-04 01:23:33,26.5,50.5,3.75,34,131,134,66,70.4,80.8,10.1,2.9,raw_2025-11-04_01-23-33.jpg,processed_2025-11-04_01-23-33.png
2025-11-04 01:24:02,26.5,50.6,3.78,35,131,134,66,66.3,79.5,12.1,3.0,raw_2025-11-04_01-24-02.jpg,processed_2025-11-04_01-24-02.png
2025-11-04 01:24:32,26.5,50.6,3.89,34,130,133,65,68.3,80.4,10.5,3.0,raw_2025-11-04_01-24-32.jpg,processed_2025-11-04_01-24-32.png
2025-11-04 01:25:02,26.5,50.6,3.82,35,130,133,64,68.8,80.6,10.7,3.0,raw_2025-11-04_01-25-02.jpg,processed_2025-11-04_01-25-02.png
2025-11-04 01:25:32,26.5,50.7,3.8,35,129,132,64,69.0,80.9,10.7,2.9,raw_2025-11-04_01-25-32.jpg,processed_2025-11-04_01-25-32.png
2025-11-04 01:26:01,26.5,50.7,3.9,34,128,132,62,71.1,81.8,9.1,3.1,raw_2025-11-04_01-26-01.jpg,processed_2025-11-04_01-26-01.png
2025-11-04 01:26:32,26.5,50.7,3.88,34,128,131,62,70.1,80.6,10.2,2.9,raw_2025-11-04_01-26-32.jpg,processed_2025-11-04_01-26-32.png
2025-11-04 01:27:02,26.5,50.8,3.93,34,128,131,61,70.3,81.0,9.4,2.9,raw_2025-11-04_01-27-02.jpg,processed_2025-11-04_01-27-02.png
2025-11-04 01:27:32,26.4,50.9,3.79,34,127,131,62,70.7,80.6,10.0,2.8,raw_2025-11-04_01-27-32.jpg,processed_2025-11-04_01-27-32.png
2025-11-04 01:28:00,26.5,50.9,3.89,34,127,130,61,70.7,80.3,9.9,2.9,raw_2025-11-04_01-28-00.jpg,processed_2025-11-04_01-28-00.png
2025-11-04 01:28:30,26.5,50.9,3.85,35,132,134,67,65.3,79.9,12.0,2.8,raw_2025-11-04_01-28-30.jpg,processed_2025-11-04_01-28-30.png
2025-11-04 01:28:58,26.5,50.9,3.79,35,132,134,67,65.8,79.4,11.6,2.6,raw_2025-11-04_01-28-58.jpg,processed_2025-11-04_01-28-58.png
2025-11-04 01:29:28,26.5,51.1,3.9,35,131,133,66,64.6,80.0,11.8,2.8,raw_2025-11-04_01-29-28.jpg,processed_2025-11-04_01-29-28.png
2025-11-04 01:29:57,26.5,51.1,3.9,35,131,133,66,66.5,79.9,11.6,2.7,raw_2025-11-04_01-29-57.jpg,processed_2025-11-04_01-29-57.png
2025-11-04 01:30:26,26.5,51.1,3.7,35,130,132,65,65.7,80.1,11.8,2.8,raw_2025-11-04_01-30-26.jpg,processed_2025-11-04_01-30-26.png
2025-11-04 01:30:56,26.5,51.2,3.83,36,130,132,66,63.7,78.6,13.4,2.8,raw_2025-11-04_01-30-56.jpg,processed_2025-11-04_01-30-56.png
2025-11-04 01:31:32,26.5,51.2,3.86,35,130,132,65,64.2,78.7,12.8,2.8,raw_2025-11-04_01-31-32.jpg,processed_2025-11-04_01-31-32.png
2025-11-04 01:32:02,26.5,51.2,3.74,36,129,131,65,64.4,79.2,13.2,2.8,raw_2025-11-04_01-32-02.jpg,processed_2025-11-04_01-32-02.png
2025-11-04 01:32:33,26.5,51.3,3.81,35,129,131,64,64.4,78.6,12.9,2.8,raw_2025-11-04_01-32-33.jpg,processed_2025-11-04_01-32-33.png
2025-11-04 01:33:02,26.5,51.3,3.84,36,128,131,64,65.3,79.2,12.7,2.9,raw_2025-11-04_01-33-02.jpg,processed_2025-11-04_01-33-02.png
2025-11-04 01:33:33,26.4,51.4,3.95,35,128,130,64,64.3,78.0,13.0,2.9,raw_2025-11-04_01-33-33.jpg,processed_2025-11-04_01-33-33.png
