timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path,days_left
2025-11-04 02:01:12,25.1,60.9,3.55,23,116,124,52,86.0,68.6,1.3,1.2,raw_2025-11-04_02-01-12.jpg,processed_2025-11-04_02-01-12.png,5
2025-11-04 02:01:42,25.2,60.9,3.54,23,118,124,53,81.4,69.7,1.1,1.0,raw_2025-11-04_02-01-42.jpg,processed_2025-11-04_02-01-42.png,5
2025-11-04 02:02:20,25.2,60.9,3.42,24,120,125,54,80.7,73.0,1.3,1.1,raw_2025-11-04_02-02-20.jpg,processed_2025-11-04_02-02-20.png,5
2025-11-04 02:02:59,25.3,60.7,3.68,24,117,123,52,79.1,72.8,1.4,1.2,raw_2025-11-04_02-02-59.jpg,processed_2025-11-04_02-02-59.png,5
2025-11-04 02:03:31,25.3,60.7,3.7,23,121,126,55,77.7,70.6,1.3,1.0,raw_2025-11-04_02-03-31.jpg,processed_2025-11-04_02-03-31.png,5
2025-11-04 02:04:04,25.3,60.6,3.83,23,119,124,53,74.8,70.2,1.4,1.1,raw_2025-11-04_02-04-05.jpg,processed_2025-11-04_02-04-05.png,5
2025-11-04 02:04:44,25.3,60.4,3.3,23,122,129,57,82.8,70.5,1.0,1.0,raw_2025-11-04_02-04-44.jpg,processed_2025-11-04_02-04-44.png,5
2025-11-04 02:05:14,25.3,60.5,3.4,23,121,128,57,83.2,70.6,1.2,1.1,raw_2025-11-04_02-05-15.jpg,processed_2025-11-04_02-05-15.png,5
2025-11-04 02:05:46,25.3,60.5,3.45,23,119,126,56,82.9,69.7,1.1,1.1,raw_2025-11-04_02-05-46.jpg,processed_2025-11-04_02-05-46.png,5
2025-11-04 02:06:30,25.3,60.4,3.61,23,118,125,55,82.7,69.1,1.1,1.1,raw_2025-11-04_02-06-30.jpg,processed_2025-11-04_02-06-30.png,5
2025-11-04 02:06:58,25.3,60.4,3.5,23,117,124,54,82.8,69.5,1.1,1.1,raw_2025-11-04_02-06-58.jpg,processed_2025-11-04_02-06-58.png,5
2025-11-04 02:07:27,25.3,60.3,3.26,22,121,129,58,86.7,66.9,0.9,1.1,raw_2025-11-04_02-07-27.jpg,processed_2025-11-04_02-07-27.png,5
2025-11-04 02:07:55,25.4,60.2,3.27,22,120,128,57,86.1,68.0,1.1,1.3,raw_2025-11-04_02-07-55.jpg,processed_2025-11-04_02-07-55.png,5
2025-11-04 02:08:27,25.4,60.2,3.29,22,119,127,56,87.4,67.7,1.1,1.2,raw_2025-11-04_02-08-27.jpg,processed_2025-11-04_02-08-27.png,5
2025-11-04 02:08:59,25.4,60.2,3.58,21,118,126,55,86.9,66.1,0.9,1.0,raw_2025-11-04_02-08-59.jpg,processed_2025-11-04_02-08-59.png,5
2025-11-04 02:16:41,25.5,59.9,3.6,22,120,128,57,84.4,67.6,1.0,1.2,raw_2025-11-04_02-16-41.jpg,processed_2025-11-04_02-16-41.png,5
2025-11-04 02:17:11,25.5,59.8,3.64,22,119,127,56,84.0,67.3,1.2,1.3,raw_2025-11-04_02-17-11.jpg,processed_2025-11-04_02-17-11.png,5
2025-11-04 02:17:41,25.5,59.8,3.44,22,119,126,56,84.3,67.6,1.1,1.1,raw_2025-11-04_02-17-41.jpg,processed_2025-11-04_02-17-41.png,5
2025-11-04 02:18:12,25.5,59.9,3.21,22,118,126,56,84.9,68.2,1.1,1.0,raw_2025-11-04_02-18-12.jpg,processed_2025-11-04_02-18-12.png,5
2025-11-04 02:18:45,25.5,59.8,3.54,23,118,125,55,84.8,68.7,1.2,1.1,raw_2025-11-04_02-18-45.jpg,processed_2025-11-04_02-18-45.png,5
2025-11-04 02:19:17,25.5,59.8,3.49,22,117,125,54,84.3,67.8,1.1,1.1,raw_2025-11-04_02-19-17.jpg,processed_2025-11-04_02-19-17.png,5
