timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path,days_left
2025-11-04 18:21:46,26.7,58.8,3.4,9,32,24,23,6.2,1.1,3.7,5.7,raw_2025-11-04_18-21-46.jpg,processed_2025-11-04_18-21-46.png,4
2025-11-04 18:22:23,26.7,59.1,3.33,14,26,16,16,8.5,1.4,4.3,10.4,raw_2025-11-04_18-22-23.jpg,processed_2025-11-04_18-22-23.png,4
2025-11-04 18:22:51,26.8,58.9,3.48,41,135,130,55,26.2,93.4,16.5,1.0,raw_2025-11-04_18-22-52.jpg,processed_2025-11-04_18-22-52.png,4
2025-11-04 18:23:22,26.8,58.9,3.22,40,136,131,57,28.5,93.6,15.7,0.6,raw_2025-11-04_18-23-22.jpg,processed_2025-11-04_18-23-22.png,4
2025-11-04 18:23:54,26.8,58.9,3.51,39,134,128,54,28.4,92.9,14.1,0.8,raw_2025-11-04_18-23-54.jpg,processed_2025-11-04_18-23-54.png,4
2025-11-04 18:24:26,26.9,58.7,3.45,38,132,126,52,28.0,93.2,13.1,0.7,raw_2025-11-04_18-24-27.jpg,processed_2025-11-04_18-24-27.png,4
2025-11-04 18:24:58,26.9,58.7,3.41,38,131,125,50,27.7,92.8,12.8,0.7,raw_2025-11-04_18-24-58.jpg,processed_2025-11-04_18-24-58.png,4
2025-11-04 18:25:32,26.9,58.8,3.58,39,134,129,56,27.8,93.3,15.1,0.7,raw_2025-11-04_18-25-32.jpg,processed_2025-11-04_18-25-32.png,4
2025-11-04 18:26:16,27.0,58.7,3.52,40,133,128,54,27.5,93.6,16.2,0.7,raw_2025-11-04_18-26-16.jpg,processed_2025-11-04_18-26-16.png,4
2025-11-04 18:26:54,27.0,58.6,3.67,39,132,127,53,28.9,93.7,14.8,0.6,raw_2025-11-04_18-26-54.jpg,processed_2025-11-04_18-26-54.png,4
2025-11-04 18:27:26,27.0,58.6,3.29,29,131,130,53,41.5,86.4,3.2,0.4,raw_2025-11-04_18-27-26.jpg,processed_2025-11-04_18-27-26.png,4
2025-11-04 18:28:08,27.0,58.4,3.27,28,130,129,51,41.6,86.3,3.0,0.5,raw_2025-11-04_18-28-08.jpg,processed_2025-11-04_18-28-08.png,4
2025-11-04 18:28:49,27.0,58.3,3.79,29,129,128,50,42.0,86.8,3.1,0.4,raw_2025-11-04_18-28-50.jpg,processed_2025-11-04_18-28-50.png,4
2025-11-04 18:29:27,27.0,57.9,3.63,30,131,129,53,39.9,88.2,3.9,0.7,raw_2025-11-04_18-29-27.jpg,processed_2025-11-04_18-29-27.png,4
2025-11-04 18:30:02,27.0,57.7,3.21,29,130,128,52,39.5,87.0,4.0,0.6,raw_2025-11-04_18-30-02.jpg,processed_2025-11-04_18-30-02.png,4
2025-11-04 18:30:34,27.0,57.6,3.3,30,128,127,51,40.3,86.4,4.2,0.7,raw_2025-11-04_18-30-34.jpg,processed_2025-11-04_18-30-34.png,4
2025-11-04 18:31:05,27.0,57.7,3.49,29,127,126,49,40.7,86.7,3.4,0.5,raw_2025-11-04_18-31-05.jpg,processed_2025-11-04_18-31-05.png,4
2025-11-04 18:31:35,26.8,57.8,3.47,28,131,130,53,40.3,83.6,3.1,0.5,raw_2025-11-04_18-31-35.jpg,processed_2025-11-04_18-31-35.png,4
2025-11-04 18:32:18,27.0,57.6,3.25,28,131,130,52,40.9,83.6,3.0,0.6,raw_2025-11-04_18-32-18.jpg,processed_2025-11-04_18-32-18.png,4
2025-11-04 18:32:51,26.9,57.8,3.41,28,130,129,51,40.4,85.1,2.9,0.7,raw_2025-11-04_18-32-51.jpg,processed_2025-11-04_18-32-51.png,4
2025-11-04 18:33:21,26.9,57.8,3.45,28,129,128,51,40.8,83.2,3.1,0.4,raw_2025-11-04_18-33-21.jpg,processed_2025-11-04_18-33-21.png,4
2025-11-04 18:33:54,26.9,57.9,3.18,27,128,127,49,40.9,81.3,2.8,0.4,raw_2025-11-04_18-33-54.jpg,processed_2025-11-04_18-33-54.png,4
2025-11-04 18:34:29,26.9,58.0,3.44,27,127,127,49,41.2,82.1,2.8,0.4,raw_2025-11-04_18-34-29.jpg,processed_2025-11-04_18-34-29.png,4
2025-11-04 18:35:05,26.9,58.0,3.52,28,131,130,53,40.7,84.4,3.2,0.4,raw_2025-11-04_18-35-05.jpg,processed_2025-11-04_18-35-05.png,4
2025-11-04 18:35:40,26.9,58.0,3.77,27,130,129,52,39.8,81.7,3.3,0.4,raw_2025-11-04_18-35-40.jpg,processed_2025-11-04_18-35-40.png,4
2025-11-04 18:36:17,27.0,57.9,3.62,28,130,129,51,41.0,83.8,3.1,0.5,raw_2025-11-04_18-36-17.jpg,processed_2025-11-04_18-36-17.png,4
2025-11-04 18:36:50,27.0,58.0,3.48,28,129,128,51,40.4,83.6,3.3,0.3,raw_2025-11-04_18-36-50.jpg,processed_2025-11-04_18-36-50.png,4
2025-11-04 18:37:29,27.0,58.0,3.47,28,128,127,50,40.3,83.4,3.2,0.5,raw_2025-11-04_18-37-29.jpg,processed_2025-11-04_18-37-29.png,4
2025-11-04 18:38:06,27.0,58.1,3.32,28,127,127,49,42.2,83.1,3.2,0.5,raw_2025-11-04_18-38-06.jpg,processed_2025-11-04_18-38-06.png,4
2025-11-04 18:38:36,27.0,58.1,3.49,27,126,126,48,41.6,82.0,2.8,0.4,raw_2025-11-04_18-38-36.jpg,processed_2025-11-04_18-38-36.png,4
2025-11-04 18:39:05,27.0,58.1,3.46,27,128,127,49,38.5,82.4,2.9,0.4,raw_2025-11-04_18-39-05.jpg,processed_2025-11-04_18-39-05.png,4
2025-11-04 18:39:34,27.0,58.1,3.41,27,127,127,48,38.9,79.3,3.2,0.6,raw_2025-11-04_18-39-34.jpg,processed_2025-11-04_18-39-34.png,4
2025-11-04 18:40:07,27.0,58.1,3.35,26,127,126,48,40.1,79.8,2.9,0.5,raw_2025-11-04_18-40-07.jpg,processed_2025-11-04_18-40-07.png,4
2025-11-04 18:40:43,27.1,58.1,3.34,26,126,126,48,40.9,78.2,2.4,0.5,raw_2025-11-04_18-40-43.jpg,processed_2025-11-04_18-40-43.png,4
2025-11-04 18:41:23,27.1,58.0,3.47,25,126,125,47,40.8,76.7,2.6,0.2,raw_2025-11-04_18-41-23.jpg,processed_2025-11-04_18-41-23.png,4
2025-11-04 18:42:02,27.1,58.0,3.27,26,125,124,46,39.8,78.6,2.9,0.4,raw_2025-11-04_18-42-02.jpg,processed_2025-11-04_18-42-02.png,4
2025-11-04 18:42:38,27.1,57.9,3.26,26,124,124,45,40.6,78.1,2.9,0.3,raw_2025-11-04_18-42-38.jpg,processed_2025-11-04_18-42-38.png,4
2025-11-04 18:43:17,27.1,57.9,3.29,25,124,123,44,40.7,77.5,2.7,0.3,raw_2025-11-04_18-43-17.jpg,processed_2025-11-04_18-43-17.png,4
