timestamp,temperature,humidity,gas,ripeness,avg_R,avg_G,avg_B,green_%,yellow_%,brown_%,black_%,image_path,processed_image_path,days_left
2025-11-06 17:49:21,25.8,46.1,3.71,0,54,147,69,99.9,0.0,0.0,0.0,raw_2025-11-06_17-49-21.jpg,processed_2025-11-06_17-49-21.png,2
2025-11-06 17:49:56,26.0,47.0,9.75,72,141,125,53,1.9,91.6,62.5,0.9,raw_2025-11-06_17-49-56.jpg,processed_2025-11-06_17-49-56.png,2
2025-11-06 17:50:28,26.1,46.2,11.76,73,140,124,50,1.8,91.4,63.2,0.9,raw_2025-11-06_17-50-28.jpg,processed_2025-11-06_17-50-28.png,2
2025-11-06 17:51:12,26.4,45.8,15.0,76,139,123,53,2.0,90.3,68.0,0.9,raw_2025-11-06_17-51-12.jpg,processed_2025-11-06_17-51-12.png,2
2025-11-06 17:51:48,26.6,45.7,19.09,76,140,124,54,1.9,90.0,68.3,0.8,raw_2025-11-06_17-51-48.jpg,processed_2025-11-06_17-51-48.png,2
2025-11-06 17:53:08,26.7,45.5,26.3,76,136,119,50,1.7,89.8,68.1,1.1,raw_2025-11-06_17-53-08.jpg,processed_2025-11-06_17-53-08.png,2
2025-11-06 17:53:46,26.7,45.4,29.92,81,141,124,56,1.6,88.8,76.4,0.8,raw_2025-11-06_17-53-46.jpg,processed_2025-11-06_17-53-46.png,2
2025-11-06 17:54:27,26.8,45.3,31.93,78,138,120,51,1.7,88.2,72.0,0.8,raw_2025-11-06_17-54-27.jpg,processed_2025-11-06_17-54-27.png,2
2025-11-06 18:05:46,27.4,45.1,70.11,78,137,118,50,1.6,86.5,72.7,0.7,raw_2025-11-06_18-05-46.jpg,processed_2025-11-06_18-05-46.png,2
2025-11-06 18:07:12,27.3,45.1,68.31,80,139,121,52,1.5,86.8,75.2,0.9,raw_2025-11-06_18-07-12.jpg,processed_2025-11-06_18-07-12.png,2
2025-11-06 18:08:30,27.5,45.1,71.91,79,139,120,52,1.4,86.4,74.7,0.8,raw_2025-11-06_18-08-30.jpg,processed_2025-11-06_18-08-30.png,2
2025-11-06 18:09:19,27.4,45.2,74.23,78,137,119,50,1.9,87.0,73.5,0.9,raw_2025-11-06_18-09-19.jpg,processed_2025-11-06_18-09-19.png,2
2025-11-06 18:10:02,27.4,45.2,75.71,75,135,116,47,1.8,85.8,68.6,0.8,raw_2025-11-06_18-10-02.jpg,processed_2025-11-06_18-10-02.png,2
2025-11-06 18:10:41,27.3,45.3,77.92,75,139,121,51,1.7,85.9,69.4,0.8,raw_2025-11-06_18-10-41.jpg,processed_2025-11-06_18-10-41.png,2
